kgmp X,kgmp Y,kcgd X,kcgd Y,ids X,ids Y,rds X,rds Y,kcds X,kcds Y,kgds X,kgds Y,kcgs X,kcgs Y
4.872459,-9.874442689664125,4.872459,4.407183805844052e-11,4.872459,-4.947565333649966e-05,4.872459,48909.70102177661,4.872459,-7.681450988767175e-14,4.872459,-0.4132505631636806,4.872459,1.005993838737364e-10
5.085527,-9.874442689553202,5.085527,4.407183805722457e-11,5.085527,-5.16391787560522e-05,5.085527,46860.53246511051,5.085527,-7.681450988485477e-14,5.085527,-0.4132505631595194,5.085527,1.005993838714447e-10
5.307913,-9.874442689446976,5.307913,4.407183805606008e-11,5.307913,-5.389731317866946e-05,5.307913,44897.21787375945,5.307913,-7.681450988213291e-14,5.307913,-0.4132505631555336,5.307913,1.005993838692501e-10
5.540023,-9.874442689345209,5.540023,4.407183805494447e-11,5.540023,-5.62541937701927e-05,5.540023,43016.16022621811,5.540023,-7.681450987953403e-14,5.540023,-0.4132505631517149,5.540023,1.005993838671477e-10
5.782283,-9.874442689247644,5.782283,4.407183805387496e-11,5.782283,-5.871413861097083e-05,5.782283,41213.91320530436,5.782283,-7.68145098770387e-14,5.782283,-0.413250563148055,5.782283,1.00599383865132e-10
6.035137,-9.874442689154256,6.035137,4.407183805285116e-11,6.035137,-6.12816546070847e-05,6.035137,39487.17488410517,6.035137,-7.681450987467172e-14,6.035137,-0.4132505631445503,6.035137,1.005993838632026e-10
6.299048,-9.874442689064688,6.299048,4.407183805186935e-11,6.299048,-6.396144574753209e-05,6.299048,37832.78167645742,6.299048,-7.681450987235794e-14,6.299048,-0.4132505631411905,6.299048,1.005993838613522e-10
6.5745,-9.874442688978958,6.5745,4.407183805092948e-11,6.5745,-6.675842172247584e-05,6.5745,36247.70254089303,6.5745,-7.681450987019873e-14,6.5745,-0.4132505631379731,6.5745,1.00599383859581e-10
6.861997,-9.874442688896787,6.861997,4.407183805002877e-11,6.861997,-6.96777069183776e-05,6.861997,34729.03342741341,6.861997,-7.681450986808827e-14,6.861997,-0.41325056313489,6.861997,1.005993838578835e-10
7.162066,-9.87444268881811,7.162066,4.407183804916621e-11,7.162066,-7.272464980646569e-05,7.162066,33273.99195693345,7.162066,-7.681450986607525e-14,7.162066,-0.4132505631319371,7.162066,1.00599383856258e-10
