kgds_p X,kgds_p Y
2.169384e-09,-0.8239965625517616
2.199593e-09,-0.8232396298465008
2.230223e-09,-0.8224848624579156
2.26128e-09,-0.8217322463349271
2.292769e-09,-0.820981767491729
2.324697e-09,-0.8202334121054715
2.357069e-09,-0.819487166398184
2.389893e-09,-0.8187430167114542
2.423173e-09,-0.8180009494625295
2.456916e-09,-0.8172609511708953
2.49113e-09,-0.816523008460283
2.52582e-09,-0.8157871080197572
2.560993e-09,-0.8150532366508221
2.596656e-09,-0.8143213812082919
2.632815e-09,-0.813591528668254
2.669478e-09,-0.812863666089779
2.706652e-09,-0.8121377805825678
2.744343e-09,-0.8114138593708164
2.782559e-09,-0.8106918897408495
2.821308e-09,-0.8099718590667943
2.860596e-09,-0.8092537548157256
2.90043e-09,-0.8085375644998526
2.94082e-09,-0.8078232757380376
2.981772e-09,-0.8071108762257173
3.023295e-09,-0.8064003537082217
3.065395e-09,-0.8056916960064235
3.108082e-09,-0.8049848910407462
3.151363e-09,-0.8042799267879366
3.195248e-09,-0.8035767912906666
3.239743e-09,-0.8028754726656784
3.284857e-09,-0.802175959112066
3.3306e-09,-0.8014782388580003
3.37698e-09,-0.8007823002470014
3.424006e-09,-0.8000881316552827
3.471687e-09,-0.7993957215319539
3.520031e-09,-0.7987050583942802
3.569049e-09,-0.7980161308221098
3.61875e-09,-0.7973289274679281
3.669142e-09,-0.7966434370120622
3.720237e-09,-0.7959596482281721
3.772042e-09,-0.7952775499386169
3.824570000000001e-09,-0.7945971310258068
3.877828000000001e-09,-0.7939183804175513
3.931829e-09,-0.7932412871353105
3.986581e-09,-0.7925658402172306
4.042096e-09,-0.7918920287802601
4.098384000000001e-09,-0.7912198419815067
4.155455e-09,-0.7905492690427613
4.213322e-09,-0.7898802992384399
4.271994000000001e-09,-0.7892129218951242
4.331483000000001e-09,-0.7885471263815041
4.391801e-09,-0.7878829021211772
4.452959e-09,-0.7872202386145903
4.514968e-09,-0.7865591253752088
4.577841e-09,-0.7858995519861155
4.641589e-09,-0.7852415080595669
4.706225e-09,-0.7845849832915128
4.771761e-09,-0.7839299673911799
4.838210000000001e-09,-0.783276450126601
4.905584000000001e-09,-0.7826244213166191
4.973896e-09,-0.7819738708056803
5.043159e-09,-0.7813247885157136
5.113388e-09,-0.7806771643832346
5.184594e-09,-0.7800309883928146
5.256791e-09,-0.7793862505900666
5.329994e-09,-0.7787429410415364
5.404216e-09,-0.7781010498665982
5.479472000000001e-09,-0.777460567224865
5.555776e-09,-0.7768214833134611
5.633143e-09,-0.7761837883560802
5.711586e-09,-0.7755474726509808
5.791123e-09,-0.7749125264936977
5.871766e-09,-0.7742789402497895
5.953533000000001e-09,-0.7736467043049413
6.036439e-09,-0.7730158090874926
6.120498000000001e-09,-0.7723862450607116
6.205729e-09,-0.7717580027146781
6.292146e-09,-0.7711310725962989
6.379767000000001e-09,-0.7705054452719611
6.468608e-09,-0.7698811113437576
6.558686e-09,-0.7692580614501925
6.650018000000001e-09,-0.7686362862667674
6.742622000000001e-09,-0.7680157764811558
6.836516e-09,-0.7673965228416856
6.931717e-09,-0.7667785161192894
7.028244e-09,-0.7661617471034371
7.126115000000001e-09,-0.7655462066247538
7.225349e-09,-0.7649318855444203
7.325965e-09,-0.7643187747576408
7.427982e-09,-0.7637068651727097
7.53142e-09,-0.7630961477503723
7.636298e-09,-0.762486613460491
7.742637e-09,-0.7618782533039492
7.850456000000001e-09,-0.7612710583225376
7.959777e-09,-0.7606650195693574
8.070620000000001e-09,-0.7600601281309037
8.183007e-09,-0.7594563751207676
8.296959e-09,-0.7588537516794699
8.412497000000001e-09,-0.7582522489696875
8.529645e-09,-0.7576518581812851
8.648423e-09,-0.7570525705277023
8.768855999999999e-09,-0.7564543772465008
8.890966000000001e-09,-0.7558572696008259
9.014776e-09,-0.7552612388759723
9.140311000000001e-09,-0.7546662763815214
9.267593e-09,-0.7540723734484928
9.396648000000002e-09,-0.7534795214269046
9.5275e-09,-0.7528877116981727
9.660175000000001e-09,-0.7522969356502138
9.794697e-09,-0.7517071847123636
9.931092000000001e-09,-0.7511184503183721
1.006939e-08,-0.7505307239492564
1.020961e-08,-0.7499439970352456
1.035178e-08,-0.7493582610837062
1.049593e-08,-0.7487735076592421
1.064209e-08,-0.748189728297207
1.079029e-08,-0.7476069144893801
1.094055e-08,-0.7470250579006301
