kgmp X,kgmp Y,rds X,rds Y,kcgd X,kcgd Y,ids X,ids Y,kgds X,kgds Y,kcgs X,kcgs Y,kcds X,kcds Y
11.76812,-17.80525146044761,11.76812,338102.287342135,11.76812,4.398633129594687e-10,11.76812,-1.035573067184791e-05,11.76812,-0.2856085104187747,11.76812,7.227893892419546e-10,11.76812,-4.236756921585378e-13
12.32847,-17.80525146035568,12.32847,322735.01657056,12.32847,4.398633129495431e-10,12.32847,-1.084882658371006e-05,12.32847,-0.2856085104176394,12.32847,7.227893892307382e-10,12.32847,-4.236756921527153e-13
12.9155,-17.80525146026778,12.9155,308066.2119729429,12.9155,4.398633129400524e-10,12.9155,-1.136540162861356e-05,12.9155,-0.2856085104165548,12.9155,7.227893892200123e-10,12.9155,-4.236756921470176e-13
13.53048,-17.80525146018406,13.53048,294064.127183689,13.53048,4.398633129310112e-10,13.53048,-1.190657378315195e-05,13.53048,-0.2856085104155208,13.53048,7.227893892097959e-10,13.53048,-4.236756921416151e-13
14.17474,-17.80525146010409,14.17474,280698.4587584772,14.17474,4.398633129223776e-10,14.17474,-1.247351425721763e-05,14.17474,-0.2856085104145332,14.17474,7.227893892000394e-10,14.17474,-4.236756921365018e-13
14.84968,-17.8052514600278,14.84968,267940.2805913244,14.84968,4.398633129141415e-10,14.84968,-1.306745002874271e-05,14.84968,-0.2856085104135909,14.84968,7.227893891907327e-10,14.84968,-4.23675692131583e-13
15.55676,-17.80525145995486,15.55676,255761.9813123936,15.55676,4.398633129062657e-10,15.55676,-1.368966649913813e-05,15.55676,-0.2856085104126907,15.55676,7.227893891818319e-10,15.55676,-4.236756921267697e-13
16.29751,-17.80525145988539,16.29751,244137.2045312529,16.29751,4.398633128987643e-10,16.29751,-1.434151027516897e-05,16.29751,-0.2856085104118322,16.29751,7.227893891733559e-10,16.29751,-4.236756921222998e-13
17.07353,-17.80525145981902,17.07353,233040.791796063,17.07353,4.39863312891598e-10,17.07353,-1.502439208329702e-05,17.07353,-0.2856085104110127,17.07353,7.22789389165258e-10,17.07353,-4.23675692118111e-13
17.8865,-17.80525145975547,17.8865,222448.7281454602,17.8865,4.398633128847356e-10,17.8865,-1.573978982278618e-05,17.8865,-0.2856085104102291,17.8865,7.227893891575018e-10,17.8865,-4.236756921141104e-13
18.73817,-17.80525145969503,18.73817,212338.0901351664,18.73817,4.398633128782113e-10,18.73817,-1.64892517641842e-05,18.73817,-0.2856085104094825,18.73817,7.227893891501295e-10,18.73817,-4.236756921100449e-13
19.63041,-17.80525145963719,19.63041,202686.9962267857,19.63041,4.398633128719656e-10,19.63041,-1.727439990010981e-05,19.63041,-0.2856085104087689,19.63041,7.227893891430712e-10,19.63041,-4.236756921062916e-13
20.56512,-17.80525145958209,20.56512,193474.5594316489,20.56512,4.398633128660172e-10,20.56512,-1.809693345557834e-05,20.56512,-0.2856085104080883,20.56512,7.227893891363493e-10,20.56512,-4.236756921027869e-13
21.54435,-17.80525145952945,21.54435,184680.8421069363,21.54435,4.398633128603327e-10,21.54435,-1.895863256548553e-05,21.54435,-0.2856085104074385,21.54435,7.227893891299253e-10,21.54435,-4.236756920993951e-13
22.5702,-17.80525145947932,22.5702,176286.8128064837,22.5702,4.398633128549211e-10,22.5702,-1.986136212718843e-05,22.5702,-0.2856085104068187,22.5702,7.227893891238109e-10,22.5702,-4.236756920961626e-13
23.64489,-17.8052514594313,23.64489,168274.3050927059,23.64489,4.398633128497368e-10,23.64489,-2.080707583653827e-05,23.64489,-0.2856085104062265,23.64489,7.22789389117952e-10,23.64489,-4.236756920931746e-13
24.77076,-17.80525145938549,24.77076,160625.9782206678,24.77076,4.398633128447901e-10,24.77076,-2.179782041608216e-05,24.77076,-0.2856085104056612,24.77076,7.227893891123617e-10,24.77076,-4.236756920899974e-13
25.95024,-17.8052514593418,25.95024,153325.2796090454,25.95024,4.398633128400726e-10,25.95024,-2.283574004460317e-05,25.95024,-0.2856085104051216,25.95024,7.227893891070304e-10,25.95024,-4.236756920874665e-13
27.18588,-17.80525145930017,27.18588,146356.4090168857,27.18588,4.398633128355776e-10,27.18588,-2.392308099757083e-05,27.18588,-0.2856085104046072,27.18588,7.227893891019514e-10,27.18588,-4.236756920846825e-13
28.48036,-17.80525145926033,28.48036,139704.2843485644,28.48036,4.398633128312757e-10,28.48036,-2.506219650855376e-05,28.48036,-0.2856085104041153,28.48036,7.227893890970894e-10,28.48036,-4.236756920820214e-13
29.83647,-17.80525145922242,29.83647,133354.5090129947,29.83647,4.398633128271823e-10,29.83647,-2.625555186210579e-05,29.83647,-0.2856085104036467,29.83647,7.227893890924644e-10,29.83647,-4.236756920794124e-13
31.25716,-17.80525145918616,31.25716,127293.340766362,31.25716,4.398633128232675e-10,31.25716,-2.750572972916323e-05,31.25716,-0.2856085104031988,31.25716,7.227893890880406e-10,31.25716,-4.236756920772563e-13
32.74549,-17.80525145915154,32.74549,121507.6619710495,32.74549,4.398633128195291e-10,32.74549,-2.881543575648166e-05,32.74549,-0.2856085104027716,32.74549,7.22789389083816e-10,32.74549,-4.236756920749072e-13
34.30469,-17.80525145911848,34.30469,115984.9512063146,34.30469,4.398633128159594e-10,34.30469,-3.018750442222411e-05,34.30469,-0.2856085104023633,34.30469,7.227893890797821e-10,34.30469,-4.236756920727883e-13
35.93814,-17.80525145908689,35.93814,110713.2561693123,35.93814,4.398633128125497e-10,35.93814,-3.162490517036516e-05,35.93814,-0.2856085104019737,35.93814,7.227893890759288e-10,35.93814,-4.236756920708798e-13
37.64936,-17.80525145905677,37.64936,105681.16780781,37.64936,4.398633128092964e-10,37.64936,-3.313074883718927e-05,37.64936,-0.2856085104016018,37.64936,7.227893890722523e-10,37.64936,-4.236756920689385e-13
39.44206,-17.80525145902805,39.44206,100877.7956286077,39.44206,4.398633128061956e-10,39.44206,-3.470829438379233e-05,39.44206,-0.2856085104012471,39.44206,7.227893890687482e-10,39.44206,-4.23675692067013e-13
41.32012,-17.80525145900051,41.32012,96292.74412822451,41.32012,4.398633128032226e-10,41.32012,-3.6360955949158e-05,41.32012,-0.2856085104009077,41.32012,7.227893890653882e-10,41.32012,-4.23675692065258e-13
43.28761,-17.80525145897444,43.28761,91916.09029486854,43.28761,4.398633128004087e-10,43.28761,-3.809231023906314e-05,43.28761,-0.2856085104005848,43.28761,7.22789389062209e-10,43.28761,-4.236756920635708e-13
45.34879,-17.80525145894932,45.34879,87738.36213293156,45.34879,4.39863312797695e-10,45.34879,-3.990610426683011e-05,45.34879,-0.2856085104002754,45.34879,7.227893890591418e-10,45.34879,-4.236756920620359e-13
47.5081,-17.80525145892559,47.5081,83750.51816364477,47.5081,4.398633127951338e-10,47.5081,-4.180626346263184e-05,47.5081,-0.2856085103999818,47.5081,7.22789389056248e-10,47.5081,-4.236756920604741e-13
49.77024,-17.80525145890266,49.77024,79943.92785738251,49.77024,4.398633127926572e-10,49.77024,-4.379690016896504e-05,49.77024,-0.2856085103996995,49.77024,7.227893890534487e-10,49.77024,-4.236756920589601e-13
52.14008,-17.80525145888108,52.14008,76310.35295543259,52.14008,4.398633127903271e-10,52.14008,-4.588232254059759e-05,52.14008,-0.2856085103994322,52.14008,7.227893890508165e-10,52.14008,-4.236756920576092e-13
54.62277,-17.80525145886022,54.62277,72841.92964063537,54.62277,4.398633127880755e-10,54.62277,-4.806704386834271e-05,54.62277,-0.2856085103991752,54.62277,7.227893890482714e-10,54.62277,-4.236756920562894e-13
