rds X,rds Y,kcgd X,kcgd Y,kgds X,kgds Y,kgmp X,kgmp Y,kcds X,kcds Y,ids X,ids Y,kcgs X,kcgs Y
3.853529,45097.25308424875,3.853529,2.870311868823497e-11,3.853529,-0.3688610927962478,3.853529,-7.596715749479443,3.853529,-4.951562467449006e-14,3.853529,-6.011558283126439e-05,3.853529,6.69786047336944e-11
4.037017,43047.51333062511,4.037017,2.870311868738428e-11,4.037017,-0.3688610927916642,4.037017,-7.596715749372723,4.037017,-4.95156246723027e-14,4.037017,-6.297803156387268e-05,4.037017,6.697860473204943e-11
4.229243,41090.93741230162,4.229243,2.870311868657243e-11,4.229243,-0.3688610927872896,4.229243,-7.596715749270876,4.229243,-4.951562467020839e-14,4.229243,-6.597677794770556e-05,4.229243,6.697860473047962e-11
4.430621,39223.2908891754,4.430621,2.870311868579745e-11,4.430621,-0.3688610927831135,4.430621,-7.596715749173659,4.430621,-4.951562466822946e-14,4.430621,-6.911831189803001e-05,4.430621,6.697860472898111e-11
4.641589,37440.53178298187,4.641589,2.870311868505752e-11,4.641589,-0.3688610927791268,4.641589,-7.596715749080832,4.641589,-4.951562466631813e-14,4.641589,-7.240943235231393e-05,4.641589,6.697860472755037e-11
4.862602,35738.80182960762,4.862602,2.870311868435137e-11,4.862602,-0.3688610927753218,4.862602,-7.596715748992245,4.862602,-4.9515624664498e-14,4.862602,-7.585726198454977e-05,4.862602,6.697860472618492e-11
5.094138,34114.41812899755,5.094138,2.870311868367699e-11,5.094138,-0.3688610927716888,5.094138,-7.596715748907643,5.094138,-4.951562466276602e-14,5.094138,-7.94692626202157e-05,5.094138,6.697860472488084e-11
5.336699,32563.86517458913,5.336699,2.870311868303359e-11,5.336699,-0.3688610927682218,5.336699,-7.596715748826932,5.336699,-4.951562466110583e-14,5.336699,-8.325325138522475e-05,5.336699,6.697860472363675e-11
5.59081,31083.78724501827,5.59081,2.870311868241944e-11,5.59081,-0.3688610927649124,5.59081,-7.596715748749884,5.59081,-4.951562465952304e-14,5.59081,-8.721741762382742e-05,5.59081,6.697860472244925e-11
5.857021,29670.98114163646,5.857021,2.870311868183315e-11,5.857021,-0.3688610927617532,5.857021,-7.596715748676337,5.857021,-4.951562465802043e-14,5.857021,-9.137034062206459e-05,5.857021,6.697860472131555e-11
6.135907,28322.38925611788,6.135907,2.870311868127384e-11,6.135907,-0.3688610927587387,6.135907,-7.596715748606176,6.135907,-4.95156246565758e-14,6.135907,-9.572100817513916e-05,6.135907,6.697860472023411e-11
6.428073,27035.09295315341,6.428073,2.870311868073949e-11,6.428073,-0.3688610927558596,6.428073,-7.596715748539139,6.428073,-4.951562465520288e-14,6.428073,-0.0001002788360388927,6.428073,6.697860471920085e-11
6.734151,25806.30625391451,6.734151,2.870311868022962e-11,6.734151,-0.368861092753112,6.734151,-7.596715748475174,6.734151,-4.951562465390623e-14,6.734151,-0.0001050536883074638,6.734151,6.697860471821497e-11
7.054802,24633.36980660951,7.054802,2.87031186797428e-11,7.054802,-0.3688610927504893,7.054802,-7.596715748414102,7.054802,-4.951562465265616e-14,7.054802,-0.0001100558987612628,7.054802,6.697860471727363e-11
7.390722,23513.74513109036,7.390722,2.870311867927781e-11,7.390722,-0.3688610927479847,7.390722,-7.596715748355767,7.390722,-4.951562465144108e-14,7.390722,-0.0001152962932314329,7.390722,6.697860471637442e-11
7.742637,22445.00912505005,7.742637,2.87031186788344e-11,7.742637,-0.3688610927455953,7.742637,-7.596715748300144,7.742637,-4.951562465030867e-14,7.742637,-0.0001207862130292134,7.742637,6.697860471551704e-11
