kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
1.22801e-06,-8.504318689566893e-10,1.22801e-06,0.000237614817889235,1.22801e-06,-5.77347733804649e-10,1.22801e-06,147418.897799633,1.22801e-06,23.02094480433185,1.22801e-06,1.032167966644545e-05,1.22801e-06,0.6571983487750664
1.357209e-06,-7.839182390437817e-10,1.357209e-06,0.0002594051192751151,1.357209e-06,-5.25072563387273e-10,1.357209e-06,134549.8476348334,1.357209e-06,22.82520633843721,1.357209e-06,1.136485319908289e-05,1.357209e-06,0.6539626716935955
1.500001e-06,-7.227208520127373e-10,1.500001e-06,0.00028314054220002,1.500001e-06,-4.774335870509638e-10,1.500001e-06,122808.0726810666,1.500001e-06,22.62212972650927,1.500001e-06,1.251608693005715e-05,1.500001e-06,0.6505857003794565
1.657815e-06,-6.664289474630781e-10,1.657815e-06,0.0003089618159108507,1.657815e-06,-4.340572588977184e-10,1.657815e-06,112103.2815353449,1.657815e-06,22.41142036024513,1.657815e-06,1.37859096364507e-05,1.657815e-06,0.6470625231606041
1.832234e-06,-6.146534510767999e-10,1.832234e-06,0.000337016385596812,1.832234e-06,-3.945894534131367e-10,1.832234e-06,102349.8368323703,1.832234e-06,22.19274768822165,1.832234e-06,1.518587920393817e-05,1.832234e-06,0.6433879228146392
2.025003e-06,-5.670131092252711e-10,2.025003e-06,0.0003674691915279387,2.025003e-06,-3.586854342816438e-10,2.025003e-06,93464.25636834225,2.025003e-06,21.96567009226689,2.025003e-06,1.67292502338596e-05,2.025003e-06,0.6395551018505499
2.238053e-06,-5.229066562939594e-10,2.238053e-06,0.0003993771294733634,2.238053e-06,-3.26052643778778e-10,2.238053e-06,85598.67364912014,2.238053e-06,21.6701344911612,2.238053e-06,1.842984083168755e-05,2.238053e-06,0.6338863212993937
2.473518e-06,-4.825314780997053e-10,2.473518e-06,0.0004349364942454748,2.473518e-06,-2.96365366710723e-10,2.473518e-06,78225.97574261337,2.473518e-06,21.42077786412546,2.473518e-06,2.030442110946338e-05,2.473518e-06,0.6295908374134139
2.733757e-06,-4.45341255084099e-10,2.733757e-06,0.0004733854002361843,2.733757e-06,-2.69376499149499e-10,2.733757e-06,71511.29764952001,2.733757e-06,21.16150479705641,2.733757e-06,2.237011993126466e-05,2.733757e-06,0.6251108380666508
3.021375e-06,-4.11067972699985e-10,3.021375e-06,0.0005149089067356975,3.021375e-06,-2.448419132572676e-10,3.021375e-06,65395.3559712548,3.021375e-06,20.8918613480361,3.021375e-06,2.464638732556497e-05,3.021375e-06,0.6204400477319495
3.339254e-06,-3.790557122408275e-10,3.339254e-06,0.000560328199581239,3.339254e-06,-2.222505248483854e-10,3.339254e-06,59751.8999143844,3.339254e-06,20.60753142281042,3.339254e-06,2.719045712389468e-05,3.339254e-06,0.6155052647595288
3.690576e-06,-3.500948739704628e-10,3.690576e-06,0.0006083401076648784,3.690576e-06,-2.02111240720448e-10,3.690576e-06,54709.48730606905,3.690576e-06,20.31740662161594,3.690576e-06,2.994181880563722e-05,3.690576e-06,0.6104627618587083
4.078861e-06,-3.23300046878918e-10,4.078861e-06,0.0006600813267971965,4.078861e-06,-1.837564266588479e-10,4.078861e-06,50102.53767017189,4.078861e-06,20.01520144688523,4.078861e-06,3.297899991408373e-05,4.078861e-06,0.6052054011212936
