kcgs_n X,kcgs_n Y
6.513491000000001e-08,-1.263967857403669e-08
6.604194e-08,-1.247084438716763e-08
6.696160000000001e-08,-1.230431501259409e-08
6.789407e-08,-1.21400591310629e-08
6.883951999999999e-08,-1.197804582639123e-08
6.979814000000001e-08,-1.18182445844118e-08
7.077011000000001e-08,-1.166062528830709e-08
7.175561000000001e-08,-1.150515821408389e-08
7.275484000000001e-08,-1.135181403071341e-08
7.376798e-08,-1.120056378932697e-08
7.479523e-08,-1.105137892784546e-08
7.583678000000002e-08,-1.090423125893735e-08
7.689284000000001e-08,-1.075909296874917e-08
7.79636e-08,-1.061593661657226e-08
7.904928000000001e-08,-1.047473512238953e-08
8.015007e-08,-1.033546177326531e-08
8.126619e-08,-1.019809021112299e-08
8.239786e-08,-1.006259442891686e-08
8.354528000000001e-08,-9.910533277638067e-09
8.470868000000001e-08,-9.780130570208363e-09
8.588829e-08,-9.651428375784978e-09
8.708431000000001e-08,-9.524408242918211e-09
8.8297e-08,-9.399051724424735e-09
8.952657000000001e-08,-9.275340383396319e-09
9.077327e-08,-9.153255809164962e-09
9.203732e-08,-9.032779618785662e-09
9.331898e-08,-8.913893472210709e-09
9.461848000000001e-08,-8.796579075481343e-09
9.593608000000001e-08,-8.680818192230764e-09
9.727203e-08,-8.566592649299674e-09
9.862658000000001e-08,-8.453884344843771e-09
1e-07,-8.34267525604305e-09
1.013925e-07,-8.232947441752656e-09
1.028045e-07,-8.124683065938673e-09
1.042361e-07,-8.017864366597807e-09
1.056876e-07,-7.912473704734106e-09
1.071593e-07,-7.80849353594606e-09
1.086516e-07,-7.705906441254236e-09
1.101646e-07,-7.604695114073439e-09
1.116987e-07,-7.504842375371759e-09
1.132541e-07,-7.406331155690189e-09
1.148312e-07,-7.309144535176883e-09
1.164303e-07,-7.213265730417532e-09
1.180517e-07,-7.118678077816133e-09
1.196956e-07,-7.025365075973397e-09
1.213624e-07,-6.933310345422077e-09
1.230524e-07,-6.842497669139077e-09
1.24766e-07,-6.752910970229767e-09
1.265034e-07,-6.664534338425743e-09
1.28265e-07,-6.577351989091554e-09
1.300511e-07,-6.491348323855102e-09
1.318621e-07,-6.406507875529765e-09
1.336984e-07,-6.322815342661225e-09
1.355602e-07,-6.240255592561307e-09
1.374479e-07,-6.158813634020669e-09
1.393619e-07,-6.078474656478615e-09
1.413026e-07,-5.999223990524639e-09
1.432703e-07,-5.921047149047674e-09
1.452654e-07,-5.843929785627045e-09
1.472883e-07,-5.767857733601895e-09
1.493393e-07,-5.692816981210867e-09
1.514189e-07,-5.618793678592151e-09
1.535275e-07,-5.545774136794763e-09
1.556654e-07,-5.473744836815109e-09
1.578331e-07,-5.402692407954786e-09
1.60031e-07,-5.332603653512086e-09
1.622595e-07,-5.263465529446967e-09
1.645191e-07,-5.195265150037424e-09
1.668101e-07,-5.127989795427924e-09
1.69133e-07,-5.061626895248261e-09
1.714882e-07,-4.996164042052923e-09
1.738762e-07,-4.93158898380862e-09
1.762975e-07,-4.867889619940408e-09
1.787526e-07,-4.80505400539918e-09
1.812418e-07,-4.743070351445329e-09
1.837656e-07,-4.681927014128658e-09
1.863246e-07,-4.62161250298743e-09
1.889193e-07,-4.562115479138834e-09
1.915501e-07,-4.503424744624199e-09
1.942175e-07,-4.445529256783286e-09
1.96922e-07,-4.388418106812138e-09
1.996642e-07,-4.332080535931385e-09
2.024447e-07,-4.276505927128842e-09
2.052638e-07,-4.221683801781634e-09
2.081222e-07,-4.167603822196094e-09
2.110203e-07,-4.114255784450128e-09
2.139589e-07,-4.061629626278391e-09
2.169384e-07,-4.009715412863283e-09
2.199593e-07,-3.958503346381394e-09
2.230223e-07,-3.907983760830383e-09
2.26128e-07,-3.858147119008935e-09
2.292769e-07,-3.80215928575414e-09
2.324697e-07,-3.754181802947542e-09
2.357069e-07,-3.7068230900825e-09
2.389893e-07,-3.660076367473172e-09
2.423173e-07,-3.613934856653611e-09
2.456916e-07,-3.568391785672239e-09
2.49113e-07,-3.523440392718026e-09
2.52582e-07,-3.479073927075943e-09
2.560993e-07,-3.435285655251796e-09
2.596656e-07,-3.392068860556379e-09
2.632815e-07,-3.349416850101945e-09
2.669478e-07,-3.307322955397705e-09
2.706652e-07,-3.265780533169619e-09
2.744343e-07,-3.224782971738179e-09
2.782559e-07,-3.184323690432509e-09
2.821308e-07,-3.14439614343373e-09
2.860596e-07,-3.10499382229177e-09
2.90043e-07,-3.066110255399565e-09
2.94082e-07,-3.027739013402082e-09
2.981772e-07,-2.989873709416184e-09
3.023295e-07,-2.95250799940174e-09
3.065395e-07,-2.915635585254693e-09
3.108082e-07,-2.879250217591107e-09
3.151363e-07,-2.843345694970197e-09
3.195248e-07,-2.807915865762412e-09
3.239743e-07,-2.772954629858734e-09
3.284857e-07,-2.738455940228289e-09
3.3306e-07,-2.704413801393228e-09
3.37698e-07,-2.670822274668564e-09
3.424006e-07,-2.637675475014439e-09
3.471687e-07,-2.604967573856726e-09
3.520031000000001e-07,-2.572692799557418e-09
3.569049e-07,-2.540845437858118e-09
