kgds_p X,kgds_p Y,kcdg_p X,kcdg_p Y,kgmp X,kgmp Y,reff X,reff Y,kcsg_p X,kcsg_p Y
7.067181e-07,-0.2150372948602481,7.067181e-07,8.653234675043643e-11,7.067181e-07,-15.23068807036492,7.067181e-07,6756861.359703861,7.067181e-07,2.62894109319126e-10
7.663411e-07,-0.2098281132670058,7.663411e-07,8.023545097491858e-11,7.663411e-07,-14.97834824024298,7.663411e-07,6488703.649445887,7.663411e-07,2.484599346523526e-10
8.309942e-07,-0.2051926426243671,8.309942e-07,7.483444776305477e-11,8.309942e-07,-14.74180295920995,8.309942e-07,6244464.643588535,8.309942e-07,2.357177605181686e-10
9.011018e-07,-0.2010351509173944,9.011018e-07,7.016485198659352e-11,9.011018e-07,-14.52039159587541,9.011018e-07,6022344.547668686,9.011018e-07,2.244226356328464e-10
9.771242e-07,-0.1972748307569542,9.771242e-07,6.609063982451483e-11,9.771242e-07,-14.31289371559602,9.771242e-07,5819952.263247062,9.771242e-07,2.143489829049459e-10
1.05956e-06,-0.1938460080087168,1.05956e-06,6.250328249353045e-11,1.05956e-06,-14.11794254219275,1.05956e-06,5634875.449619122,1.05956e-06,2.05304049404533e-10
1.148951e-06,-0.1906747904672424,1.148951e-06,5.929611898894905e-11,1.148951e-06,-13.93295870706671,1.148951e-06,5463764.179128714,1.148951e-06,1.970736298603925e-10
1.245883e-06,-0.1877852882274196,1.245883e-06,5.646765261906134e-11,1.245883e-06,-13.76066156963608,1.245883e-06,5308271.550277415,1.245883e-06,1.896978895113216e-10
1.350994e-06,-0.1850859440074537,1.350994e-06,5.390659293728072e-11,1.350994e-06,-13.59659780975438,1.350994e-06,5163629.590584346,1.350994e-06,1.829211264188212e-10
1.464971e-06,-0.1825727656194096,1.464971e-06,5.159285892781025e-11,1.464971e-06,-13.44125917004689,1.464971e-06,5029694.533601582,1.464971e-06,1.767154581216951e-10
