kgmp X,kgmp Y
4.331483000000001e-09,-26.6450423373068
4.391801e-09,-26.64118347769929
4.452959e-09,-26.63730418594736
4.514968e-09,-26.63340433026294
4.577841e-09,-26.62948377829562
4.641589e-09,-26.62554239689729
4.706225e-09,-26.62158005244981
4.771761e-09,-26.61759661045216
4.838210000000001e-09,-26.61359193578972
4.905584000000001e-09,-26.6095658926956
4.973896e-09,-26.60551834459674
5.043159e-09,-26.60144915443869
5.113388e-09,-26.59735818429959
5.184594e-09,-26.59324529560079
5.256791e-09,-26.58911034919476
5.329994e-09,-26.58495320511188
5.404216e-09,-26.58077372276999
5.479472000000001e-09,-26.57657176089773
5.555776e-09,-26.57234717751937
5.633143e-09,-26.56809982988717
5.711586e-09,-26.56382957479917
5.791123e-09,-26.55953626809712
5.871766e-09,-26.55521976515062
5.953533000000001e-09,-26.55087992052677
6.036439e-09,-26.54651658815008
6.120498000000001e-09,-26.54212962124896
6.205729e-09,-26.53771887230689
6.292146e-09,-26.53328419327378
6.379767000000001e-09,-26.5288254353134
6.468608e-09,-26.52434244891675
6.558686e-09,-26.51983508391303
6.650018000000001e-09,-26.51530318948208
6.742622000000001e-09,-26.51074661397266
6.836516e-09,-26.50616520526657
6.931717e-09,-26.50155881050058
7.028244e-09,-26.49692727604363
7.126115000000001e-09,-26.49227044766685
7.225349e-09,-26.48758817047309
7.325965e-09,-26.48288028892484
7.427982e-09,-26.47814664668914
7.53142e-09,-26.47338708695036
7.636298e-09,-26.46860145207415
7.742637e-09,-26.46378958378577
7.850456000000001e-09,-26.45895132325336
7.959777e-09,-26.45408651085888
8.070620000000001e-09,-26.44919498637868
8.183007e-09,-26.44427658893987
8.296959e-09,-26.43933115702457
8.412497000000001e-09,-26.43435852843361
8.529645e-09,-26.42935854033998
8.648423e-09,-26.4243310292574
8.768855999999999e-09,-26.41927583105571
8.890966000000001e-09,-26.41419278097742
9.014776e-09,-26.40908171361553
9.140311000000001e-09,-26.40394246293564
9.267593e-09,-26.3987748622595
9.396648000000002e-09,-26.39357874425194
9.5275e-09,-26.38835394103066
9.660175000000001e-09,-26.38310028395783
9.794697e-09,-26.37781760395314
9.931092000000001e-09,-26.37250573117389
1.006939e-08,-26.36716449540576
1.020961e-08,-26.3617937251786
1.035178e-08,-26.35639324893355
1.049593e-08,-26.35096289486017
1.064209e-08,-26.34550249011201
1.079029e-08,-26.34001186065339
1.094055e-08,-26.33449083331332
1.10929e-08,-26.3289392326602
1.124737e-08,-26.32335688415126
1.1404e-08,-26.31774361142023
1.15628e-08,-26.31209923865597
1.172382e-08,-26.30642358865551
1.188708e-08,-26.30071648376054
1.205261e-08,-26.29497774640576
1.222045e-08,-26.28920719758931
1.239062e-08,-26.28340465847691
1.256317e-08,-26.27756994923697
1.273811e-08,-26.27170288927132
1.29155e-08,-26.26580329810125
1.309535e-08,-26.25987099456979
1.327771e-08,-26.25390579641264
1.346261e-08,-26.24790752146858
1.365008e-08,-26.24187598659133
1.384016e-08,-26.2358110021877
1.403289e-08,-26.22971240410438
1.42283e-08,-26.22357998796209
1.442644e-08,-26.21741357529221
1.462733e-08,-26.21121298080757
1.483103e-08,-26.20497801865995
1.503755e-08,-26.1987085023686
1.524696e-08,-26.1924042450556
1.545928e-08,-26.18606505967284
1.567455e-08,-26.17969075804207
1.589283e-08,-26.17328115199257
1.611414e-08,-26.16683605328609
1.633854e-08,-26.16035527211125
1.656606e-08,-26.15383861936312
1.679675e-08,-26.14728590485438
1.703065e-08,-26.14069693814243
1.726781e-08,-26.13407152820704
1.750827e-08,-26.12740948397441
1.775208e-08,-26.12071061372551
1.799929e-08,-26.11397472535004
1.824993e-08,-26.10720162632354
1.850407e-08,-26.1003911236884
1.876175e-08,-26.09354302456923
1.902301e-08,-26.08665713456674
1.928792e-08,-26.07973326039878
1.955651e-08,-26.07277120725301
1.982884e-08,-26.06577078062444
2.010496e-08,-26.05873178527478
2.038493e-08,-26.05165402575641
2.06688e-08,-26.04453730616603
2.095662e-08,-26.03738143090403
2.124845e-08,-26.03018620294511
2.154435e-08,-26.02295142560661
2.184436e-08,-26.01567690206074
2.214855e-08,-26.00836243463469
2.245698e-08,-26.00100782581146
2.27697e-08,-25.99361287777234
2.308678e-08,-25.98617739173194
2.340827e-08,-25.97870116939458
2.373424e-08,-25.97118401181628
2.406475e-08,-25.96362571992091
2.439986e-08,-25.95602609431689
2.473964e-08,-25.94838493512755
2.508415e-08,-25.94070204272126
2.543346e-08,-25.93297721664819
2.578763e-08,-25.92521025638019
2.614673e-08,-25.91740096158513
2.651084e-08,-25.90954913110289
2.688001e-08,-25.90165456367936
2.725433e-08,-25.89371705824613
2.763385e-08,-25.88573641272405
2.801867e-08,-25.87771242558947
2.840884e-08,-25.86964489448415
2.880444e-08,-25.86153361734806
2.920556e-08,-25.85337839147528
2.961225e-08,-25.84517901422657
3.002462e-08,-25.8369352827154
