kcsg_p X,kcsg_p Y,kgmp X,kgmp Y,kgds_p X,kgds_p Y,kcgd_n X,kcgd_n Y,kcgs_n X,kcgs_n Y,kgds_n X,kgds_n Y,kgmn X,kgmn Y
0.0001072267,2.354818550125612e-12,0.0001072267,-0.921897940359317,0.0001072267,-0.06539385119338235,0.0001072267,-1.625206838330492e-11,0.0001072267,-1.786281884613666e-11,0.0001072267,23.01600991075183,0.0001072267,0.7345627633705442
0.0001232847,2.043807179928244e-12,0.0001232847,-0.8256638971842473,0.0001232847,-0.05986311991146491,0.0001232847,-1.431123996806631e-11,0.0001232847,-1.543836955469713e-11,0.0001232847,22.5819873748,0.0001232847,0.5098422157049582
0.0001417474,1.773151403488358e-12,0.0001417474,-0.7390437682935087,0.0001417474,-0.05463495155792202,0.0001417474,-1.255983078575657e-11,0.0001417474,-1.334599809762486e-11,0.0001417474,21.52271305629341,0.0001417474,0.3488912543636411
0.0001629751,1.537664343267831e-12,0.0001629751,-0.6612518583099795,0.0001629751,-0.04972145923083852,0.0001629751,-1.099972704610392e-11,0.0001629751,-1.153372452101471e-11,0.0001629751,20.03722829081297,0.0001629751,0.231802987997422
0.0001873817,1.332968372710482e-12,0.0001873817,-0.5915957737201551,0.0001873817,-0.0451344725160955,0.0001873817,-9.617134824612216e-12,0.0001873817,-9.9585362997066e-12,0.0001873817,18.284264568055,0.0001873817,0.146039009738489
0.0002154435,1.154212220901234e-12,0.0002154435,-0.5290651424075078,0.0002154435,-0.040854138522552,0.0002154435,-8.416253593024837e-12,0.0002154435,-8.606950210655082e-12,0.0002154435,16.4396849523853,0.0002154435,0.08294543253688261
0.0002477076,1.000601588762722e-12,0.0002477076,-0.473942248089675,0.0002477076,-0.03694957256383749,0.0002477076,-7.331508271481548e-12,0.0002477076,-7.405274984825042e-12,0.0002477076,14.50066953674355,0.0002477076,0.03744869180717939
0.0002848036,8.667052867871652e-13,0.0002848036,-0.4247876467876635,0.0002848036,-0.0333516708805595,0.0002848036,-6.394164959402604e-12,0.0002848036,-6.376209564175599e-12,0.0002848036,12.64872068937897,0.0002848036,0.004618964296858233
0.0003274549,7.509383840890842e-13,0.0003274549,-0.3814459002839813,0.0003274549,-0.03007889145546877,0.0003274549,-5.574445856108715e-12,0.0003274549,-5.486670176897455e-12,0.0003274549,10.90648215163964,0.0003274549,0
0.0003764936,6.513221843281177e-13,0.0003764936,-0.3436004726249021,0.0003764936,-0.02712718950094708,0.0003764936,-4.861688348651852e-12,0.0003764936,-4.72362181979713e-12,0.0003764936,9.315834177421902,0.0003764936,0
0.0004328761,5.663263105658885e-13,0.0004328761,-0.3111261757353382,0.0004328761,-0.02449116657943501,0.0004328761,-4.228436022775104e-12,0.0004328761,-4.060044558268816e-12,0.0004328761,7.866296204678967,0.0004328761,0
0.0004977024,4.9491279861126e-13,0.0004977024,-0.2841728238225533,0.0004977024,-0.02217245680029464,0.0004977024,-3.6828013332122e-12,0.0004977024,-3.504443941677308e-12,0.0004977024,6.604940720361707,0.0004977024,0
0.0005722368,4.362559885234906e-13,0.0005722368,-0.263111863354056,0.0005722368,-0.02016371165994229,0.0005722368,-3.203348106056941e-12,0.0005722368,-3.040240951501912e-12,0.0005722368,5.507239805258362,0.0005722368,0
0.0006579332,3.894014716220414e-13,0.0006579332,-0.2482402948017085,0.0006579332,-0.01845088676351823,0.0006579332,-2.786786377618849e-12,0.0006579332,-2.670359437814045e-12,0.0006579332,4.574313487487355,0.0006579332,0
0.0007564633,3.523384780461933e-13,0.0007564633,-0.2387573733217953,0.0007564633,-0.01700125104577515,0.0007564633,-2.421918139636372e-12,0.0007564633,-2.388011265672319e-12,0.0007564633,3.784015421744421,0.0007564633,0
0.000869749,3.217092312144333e-13,0.000869749,-0.232020018352449,0.000869749,-0.01576843794232852,0.000869749,-2.103920879815793e-12,0.000869749,-2.172610746694828e-12,0.000869749,3.120536566190285,0.000869749,0
0.001,2.944864270558729e-13,0.001,-0.2251826095446338,0.001,-0.01470435649058432,0.001,-1.82694763907867e-12,0.001,-1.978605937819937e-12,0.001,2.565336911101133,0.001,0
