kgds_n X,kgds_n Y
9.267593e-09,0.6005410671690874
9.396648000000002e-09,0.6005028360545577
9.5275e-09,0.6004600532965574
9.660175000000001e-09,0.6004127958046791
9.794697e-09,0.6003669389131793
9.931092000000001e-09,0.600319965964733
1.006939e-08,0.600271505095398
1.020961e-08,0.6002210171891206
1.035178e-08,0.6001921672737721
1.049593e-08,0.6001417305751844
1.064209e-08,0.6000839462962014
1.079029e-08,0.6000535992333502
1.094055e-08,0.5999964473227883
1.10929e-08,0.5999593805061085
1.124737e-08,0.5998963701369965
1.1404e-08,0.5998641547887932
1.15628e-08,0.5998125755413445
1.172382e-08,0.5997618202196682
1.188708e-08,0.599705990190201
1.205261e-08,0.5996653116481556
1.222045e-08,0.5996183151629796
1.239062e-08,0.5995694203862325
1.256317e-08,0.5994962147398083
