kcgd_n X,kcgd_n Y,kgds_n X,kgds_n Y,vs X,vs Y,gmn X,gmn Y,kcgs_n X,kcgs_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y
3.764936e-08,-2.955982049462358e-08,3.764936e-08,0.4348676946146781,3.764936e-08,1.236036424376526,3.764936e-08,5.352750968331456e-07,3.764936e-08,-3.599039227780517e-08,3.764936e-08,102221307.5186609,3.764936e-08,23.79444703170176,3.764936e-08,2.249579896183295e-08
4.328761e-08,-2.583443437148954e-08,4.328761e-08,0.4312622592838857,4.328761e-08,1.232252237983397,4.328761e-08,6.101035489211596e-07,4.328761e-08,-3.157885504401555e-08,4.328761e-08,90084875.09194481,4.328761e-08,23.70264902026662,4.328761e-08,2.573988875249763e-08
4.977024000000001e-08,-2.258303484696729e-08,4.977024000000001e-08,0.4276642843595244,4.977024000000001e-08,1.228457145830384,4.977024000000001e-08,6.951657986228669e-07,4.977024000000001e-08,-2.772078744075695e-08,4.977024000000001e-08,79409250.20154691,4.977024000000001e-08,23.60817821464305,4.977024000000001e-08,2.944597386136673e-08
5.722368000000001e-08,-1.974597192638284e-08,5.722368000000001e-08,0.4240742259604322,5.722368000000001e-08,1.224652185170669,5.722368000000001e-08,7.917784250786705e-07,5.722368000000001e-08,-2.434733368578436e-08,5.722368000000001e-08,70020562.16906592,5.722368000000001e-08,23.51100180986758,5.722368000000001e-08,3.367693267525336e-08
6.579332e-08,-1.727049197133389e-08,6.579332e-08,0.4204919313792844,6.579332e-08,1.220837761655441,6.579332e-08,9.0142757524931e-07,6.579332e-08,-2.139747966423378e-08,6.579332e-08,61763649.45863858,6.579332e-08,23.41108034766173,6.579332e-08,3.85043134218e-08
7.564633000000001e-08,-1.508745058052995e-08,7.564633000000001e-08,0.4168764254053626,7.564633000000001e-08,1.216970526147227,7.564633000000001e-08,1.027286474107959e-06,7.564633000000001e-08,-1.87902624626508e-08,7.564633000000001e-08,54424079.33096839,7.564633000000001e-08,23.30719432764511,7.564633000000001e-08,4.407593894257256e-08
8.69749e-08,-1.321498800501761e-08,8.69749e-08,0.4133284214652114,8.69749e-08,1.213158924557871,8.69749e-08,1.167573667528606e-06,8.69749e-08,-1.654875904735655e-08,8.69749e-08,48078456.08957697,8.69749e-08,23.20224851792184,8.69749e-08,5.032157407618279e-08
1e-07,-1.157504662455342e-08,1e-07,0.4097767664221417,1e-07,1.209327448500321,1e-07,1.326798704538661e-06,1e-07,-1.458085904507889e-08,1e-07,42476680.07342828,1e-07,23.09420067986142,1e-07,5.745159674201907e-08
1.149757e-07,-1.014053933208015e-08,1.149757e-07,0.4062249277421434,1.149757e-07,1.205480313994485,1.149757e-07,1.507222980493747e-06,1.149757e-07,-1.285509764490192e-08,1.149757e-07,37537508.58839334,1.149757e-07,22.98314842925559,1.149757e-07,6.557948251229062e-08
1.321941e-07,-8.886551361377003e-09,1.321941e-07,0.4026747699379036,1.321941e-07,1.20162007276517,1.321941e-07,1.711396523775084e-06,1.321941e-07,-1.134245031920805e-08,1.321941e-07,33185262.93063183,1.321941e-07,22.86916604125213,1.321941e-07,7.483423403756886e-08
1.519911e-07,-7.790644363585745e-09,1.519911e-07,0.3991270548511661,1.519911e-07,1.197748125938689,1.519911e-07,1.94218552453906e-06,1.519911e-07,-1.001671326776909e-08,1.519911e-07,29351056.24880827,1.519911e-07,22.75231622073719,1.519911e-07,8.536210140965296e-08
