kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y,kcds X,kcds Y,kcgd X,kcgd Y,rds X,rds Y,kcgs X,kcgs Y
6.861997,-15.64580322431261,6.861997,-0.2709746841928136,6.861997,-9.987140855503354e-06,6.861997,-3.381754500453174e-13,6.861997,2.657751427042985e-10,6.861997,369513.3267291713,6.861997,4.965482807444355e-10
7.162066,-15.64580322418641,7.162066,-0.2709746841911793,7.162066,-1.042386946148764e-05,7.162066,-3.381754500368871e-13,7.162066,2.657751426959224e-10,7.162066,354031.8358443307,7.162066,4.96548280733571e-10
7.475256,-15.64580322406548,7.475256,-0.2709746841896135,7.475256,-1.087969581305377e-05,7.475256,-3.38175450028682e-13,7.475256,2.657751426878959e-10,7.475256,339198.9726078208,7.475256,4.965482807231591e-10
7.802142,-15.64580322394962,7.802142,-0.2709746841881131,7.802142,-1.135545503728362e-05,7.802142,-3.381754500210382e-13,7.802142,2.657751426802055e-10,7.802142,324987.5614827562,7.802142,4.965482807131837e-10
8.143323000000001,-15.64580322383859,8.143323000000001,-0.2709746841866758,8.143323000000001,-1.185201878060851e-05,8.143323000000001,-3.381754500135843e-13,8.143323000000001,2.65775142672836e-10,8.143323000000001,311371.5655050612,8.143323000000001,4.965482807036248e-10
8.499423,-15.64580322373231,8.499423,-0.2709746841852991,8.499423,-1.237029680576675e-05,8.499423,-3.381754500063745e-13,8.499423,2.657751426657817e-10,8.499423,298326.0385807263,8.499423,4.965482806944747e-10
8.871095,-15.64580322363041,8.871095,-0.2709746841839796,8.871095,-1.291123865859639e-05,8.871095,-3.381754499995261e-13,8.871095,2.657751426590186e-10,8.871095,285827.0797816208,8.871095,4.965482806857021e-10
9.25902,-15.64580322353282,9.25902,-0.2709746841827156,9.25902,-1.347583540771236e-05,9.25902,-3.381754499930739e-13,9.25902,2.657751426525407e-10,9.25902,273851.7895562412,9.25902,4.965482806772997e-10
9.663909,-15.64580322343923,9.663909,-0.2709746841815042,9.663909,-1.406512146026137e-05,9.663909,-3.381754499868311e-13,9.663909,2.657751426463297e-10,9.663909,262378.2277750278,9.663909,4.965482806692429e-10
10.0865,-15.64580322334961,10.0865,-0.2709746841803438,10.0865,-1.468017645707513e-05,10.0865,-3.381754499809168e-13,10.0865,2.657751426403809e-10,10.0865,251385.3735335114,10.0865,4.965482806615265e-10
