kcgd X,kcgd Y,kgmp X,kgmp Y,ids X,ids Y,kgds X,kgds Y,rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y
3.933773,9.939808232693998e-11,3.933773,-12.63709852703004,3.933773,-1.650009642312699e-05,3.933773,-0.3778176158084884,3.933773,160409.9541710763,3.933773,-1.643836971352388e-13,3.933773,2.164503882119297e-10
4.105793,9.939808232253769e-11,4.105793,-12.6370985268451,4.105793,-1.722163066558488e-05,4.105793,-0.3778176158038719,4.105793,153689.2622121851,4.105793,-1.643836971273334e-13,4.105793,2.164503882046218e-10
4.285335,9.93980823183199e-11,4.285335,-12.6370985266679,4.285335,-1.797471694562897e-05,4.285335,-0.3778176157994489,4.285335,147250.1469214569,4.285335,-1.643836971198916e-13,4.285335,2.164503881976203e-10
4.472729,9.93980823142768e-11,4.472729,-12.63709852649805,4.472729,-1.876073500522796e-05,4.472729,-0.3778176157952098,4.472729,141080.8110880304,4.472729,-1.643836971126236e-13,4.472729,2.164503881909084e-10
4.668318,9.939808231040199e-11,4.668318,-12.63709852633525,4.668318,-1.9581124921214e-05,4.668318,-0.3778176157911479,4.668318,135169.9517685077,4.668318,-1.643836971057694e-13,4.668318,2.164503881844758e-10
4.872459,9.939808230669168e-11,4.872459,-12.63709852617938,4.872459,-2.043738974367163e-05,4.872459,-0.3778176157872573,4.872459,129506.7395786412,4.872459,-1.643836970991779e-13,4.872459,2.164503881783166e-10
5.085527,9.939808230313868e-11,5.085527,-12.63709852603013,5.085527,-2.133109824970232e-05,5.085527,-0.377817615783531,5.085527,124080.798852629,5.085527,-1.64383697092849e-13,5.085527,2.164503881724187e-10
5.307913,9.939808229973278e-11,5.307913,-12.63709852588704,5.307913,-2.226388781760699e-05,5.307913,-0.3778176157799596,5.307913,118882.1886336869,5.307913,-1.643836970867877e-13,5.307913,2.164503881667648e-10
5.540023,9.939808229646675e-11,5.540023,-12.63709852574982,5.540023,-2.323746742675327e-05,5.540023,-0.3778176157765361,5.540023,113901.38446106,5.540023,-1.643836970809749e-13,5.540023,2.164503881613428e-10
5.782283,9.939808229334021e-11,5.782283,-12.63709852561847,5.782283,-2.425362078862383e-05,5.782283,-0.3778176157732578,5.782283,109129.2609201023,5.782283,-1.643836970753923e-13,5.782283,2.164503881561526e-10
6.035137,9.939808229034461e-11,6.035137,-12.63709852549263,6.035137,-2.531420961478774e-05,6.035137,-0.3778176157701169,6.035137,104557.074923437,6.035137,-1.643836970700952e-13,6.035137,2.164503881511798e-10
6.299048,9.939808228747368e-11,6.299048,-12.63709852537202,6.299048,-2.642117702777079e-05,6.299048,-0.3778176157671068,6.299048,100176.4496926106,6.299048,-1.643836970649554e-13,6.299048,2.164503881464138e-10
6.5745,9.939808228472377e-11,6.5745,-12.63709852525649,6.5745,-2.757655112108281e-05,6.5745,-0.3778176157642234,6.5745,95979.35941085553,6.5745,-1.643836970601349e-13,6.5745,2.164503881418489e-10
6.861997,9.939808228209014e-11,6.861997,-12.63709852514584,6.861997,-2.878244867492246e-05,6.861997,-0.3778176157614613,6.861997,91958.11451885506,6.861997,-1.643836970553736e-13,6.861997,2.16450388137477e-10
7.162066,9.939808227956366e-11,7.162066,-12.6370985250397,7.162066,-3.004107903436674e-05,7.162066,-0.3778176157588131,7.162066,88105.3476265698,7.162066,-1.643836970509023e-13,7.162066,2.164503881332828e-10
