kcgd_n X,kcgd_n Y
2.245698e-08,-2.924259336838238e-08
2.27697e-08,-2.884310694222092e-08
2.308678e-08,-2.844907319089886e-08
2.340827e-08,-2.806041836893457e-08
2.373424e-08,-2.767706964719073e-08
2.406475e-08,-2.72989551330885e-08
2.439986e-08,-2.69260038535377e-08
2.473964e-08,-2.655814573928234e-08
2.508415e-08,-2.619531165206714e-08
2.543346e-08,-2.583743332530753e-08
2.578763e-08,-2.548444339146778e-08
2.614673e-08,-2.513627538477362e-08
2.651084e-08,-2.479286368618958e-08
2.688001e-08,-2.445414354817415e-08
2.725433e-08,-2.412005109667492e-08
2.763385e-08,-2.379052327137818e-08
2.801867e-08,-2.346549788241175e-08
2.840884e-08,-2.31449135432865e-08
2.880444e-08,-2.28287097076243e-08
2.920556e-08,-2.251682662207037e-08
2.961225e-08,-2.22092053449391e-08
3.002462e-08,-2.190578772432149e-08
3.044272e-08,-2.156444934302408e-08
3.086665e-08,-2.127251042374942e-08
3.129648e-08,-2.098437830163885e-08
3.17323e-08,-2.070001201628235e-08
3.217418e-08,-2.041937058582169e-08
3.262222e-08,-2.014241305325414e-08
3.307650000000001e-08,-1.986909849872694e-08
3.35371e-08,-1.959938606410346e-08
3.400412e-08,-1.933323496502126e-08
3.447764e-08,-1.907060452539665e-08
3.495776e-08,-1.881145418223781e-08
3.544456e-08,-1.8555743497042e-08
3.593814e-08,-1.830343219783403e-08
3.643859e-08,-1.805448017242713e-08
3.694601e-08,-1.780884749320085e-08
3.746050000000001e-08,-1.756649442120478e-08
3.798215e-08,-1.732738144295708e-08
3.851107e-08,-1.70914692546016e-08
3.904735e-08,-1.685871879279722e-08
3.95911e-08,-1.662909124967659e-08
4.014242e-08,-1.640254806233566e-08
4.070142e-08,-1.61790509445943e-08
4.126821e-08,-1.595856188802946e-08
4.184289e-08,-1.57410431749931e-08
4.242556e-08,-1.552645737594588e-08
4.301636e-08,-1.531476737280058e-08
4.361538000000001e-08,-1.510593635182962e-08
4.422274e-08,-1.489992781842558e-08
4.483856e-08,-1.469670561016549e-08
4.546295000000001e-08,-1.449623387979242e-08
4.609604e-08,-1.429847712757437e-08
4.673795e-08,-1.410340018401273e-08
4.73888e-08,-1.391096822474107e-08
4.80487e-08,-1.372114677487573e-08
4.87178e-08,-1.35339017073545e-08
4.939622000000001e-08,-1.334919924706373e-08
5.008408000000001e-08,-1.316700597444413e-08
5.078152e-08,-1.298728882859196e-08
5.148867e-08,-1.281001510246186e-08
5.220568e-08,-1.263515245324511e-08
5.293266e-08,-1.246266889935063e-08
5.366977e-08,-1.229253281317457e-08
5.441714000000001e-08,-1.212471293926601e-08
5.517492e-08,-1.195917837496394e-08
5.594326e-08,-1.179589858111299e-08
5.672229e-08,-1.163484337865562e-08
5.751217e-08,-1.147598295143709e-08
5.831305e-08,-1.131928783668149e-08
5.912508e-08,-1.116472893356592e-08
5.994843e-08,-1.101227749367e-08
6.078323000000001e-08,-1.08619051232294e-08
6.162966e-08,-1.071358378121958e-08
6.248788e-08,-1.056728577734414e-08
6.335805e-08,-1.042298376829027e-08
6.424034000000001e-08,-1.028065075893526e-08
6.513491000000001e-08,-1.014026009208174e-08
6.604194e-08,-1.000178545594877e-08
6.696160000000001e-08,-9.865200873915922e-09
6.789407e-08,-9.730480706809522e-09
6.883951999999999e-08,-9.597599646046841e-09
6.979814000000001e-08,-9.466532712769513e-09
7.077011000000001e-08,-9.337255254016765e-09
7.175561000000001e-08,-9.209742939012596e-09
7.275484000000001e-08,-9.083971759278679e-09
7.376798e-08,-8.95991801977133e-09
7.479523e-08,-8.837558342676239e-09
7.583678000000002e-08,-8.716869657528707e-09
7.689284000000001e-08,-8.597829200171139e-09
7.79636e-08,-8.480414512474643e-09
7.904928000000001e-08,-8.364603432123381e-09
8.015007e-08,-8.250374097851146e-09
8.126619e-08,-8.13770493941325e-09
8.239786e-08,-8.026574674443117e-09
8.354528000000001e-08,-7.90177039018776e-09
8.470868000000001e-08,-7.794825090358595e-09
8.588829e-08,-7.68927461434875e-09
8.708431000000001e-08,-7.585103904163737e-09
8.8297e-08,-7.482297903903584e-09
8.952657000000001e-08,-7.380841564734553e-09
9.077327e-08,-7.280719858026278e-09
9.203732e-08,-7.181917776610986e-09
9.331898e-08,-7.084420347269243e-09
9.461848000000001e-08,-6.988212633389202e-09
9.593608000000001e-08,-6.893279744439727e-09
9.727203e-08,-6.799606840615165e-09
9.862658000000001e-08,-6.707179139522343e-09
1e-07,-6.615981922539579e-09
1.013925e-07,-6.526000537027563e-09
1.028045e-07,-6.437220415582324e-09
1.042361e-07,-6.349627050582807e-09
1.056876e-07,-6.263206034386329e-09
1.071593e-07,-6.17794303606184e-09
1.086516e-07,-6.093823826699718e-09
1.101646e-07,-6.010834268758548e-09
1.116987e-07,-5.928960328524793e-09
1.132541e-07,-5.848188061397607e-09
1.148312e-07,-5.768503644741727e-09
1.164303e-07,-5.689893367114306e-09
1.180517e-07,-5.612343614663646e-09
1.196956e-07,-5.535840905899228e-09
1.213624e-07,-5.460371858701771e-09
1.230524e-07,-5.385923223559601e-09
1.24766e-07,-5.312481865293473e-09
1.265034e-07,-5.240034784798778e-09
1.28265e-07,-5.168569085459346e-09
1.300511e-07,-5.098072022866692e-09
1.318621e-07,-5.02853095968725e-09
1.336984e-07,-4.959933393997203e-09
1.355602e-07,-4.892266961782486e-09
1.374479e-07,-4.825519414587045e-09
1.393619e-07,-4.759678651629457e-09
1.413026e-07,-4.694732687442753e-09
1.432703e-07,-4.630669685608424e-09
1.452654e-07,-4.567477924667867e-09
1.472883e-07,-4.505145830147719e-09
1.493393e-07,-4.443661954196087e-09
1.514189e-07,-4.383014981326077e-09
1.535275e-07,-4.323193727612711e-09
1.556654e-07,-4.264187148101181e-09
1.578331e-07,-4.205984319082287e-09
1.60031e-07,-4.148574459142828e-09
1.622595e-07,-4.091946911691769e-09
1.645191e-07,-4.03609114959738e-09
1.668101e-07,-3.980996781370618e-09
1.69133e-07,-3.926653537750817e-09
1.714882e-07,-3.873051282712465e-09
1.738762e-07,-3.820180007312648e-09
1.762975e-07,-3.768029826453385e-09
1.787526e-07,-3.716590982211152e-09
1.812418e-07,-3.665853844475307e-09
1.837656e-07,-3.615808901515721e-09
1.863246e-07,-3.566446767101039e-09
1.889193e-07,-3.517758178930842e-09
1.915501e-07,-3.469733989912593e-09
1.942175e-07,-3.422365179919402e-09
1.96922e-07,-3.375642838239917e-09
1.996642e-07,-3.329558176802508e-09
2.024447e-07,-3.284102523412385e-09
2.052638e-07,-3.239267318982345e-09
2.081222e-07,-3.195044119603677e-09
2.110203e-07,-3.151424590685294e-09
2.139589e-07,-3.108400513393569e-09
2.169384e-07,-3.065963773026945e-09
2.199593e-07,-3.02410636681265e-09
2.230223e-07,-2.982820399668275e-09
2.26128e-07,-2.942098081724323e-09
2.292769e-07,-2.896321513238341e-09
2.324697e-07,-2.857132854975233e-09
2.357069e-07,-2.818455146718961e-09
2.389893e-07,-2.780282870251225e-09
2.423173e-07,-2.742610507234819e-09
2.456916e-07,-2.705432543570182e-09
2.49113e-07,-2.668743472388421e-09
2.52582e-07,-2.632537794863756e-09
2.560993e-07,-2.596810025244133e-09
2.596656e-07,-2.561554690543477e-09
2.632815e-07,-2.526766336280592e-09
2.669478e-07,-2.492439526994269e-09
2.706652e-07,-2.458568846941889e-09
2.744343e-07,-2.425148905328942e-09
2.782559e-07,-2.392174335858767e-09
2.821308e-07,-2.359639799892849e-09
2.860596e-07,-2.327539988527529e-09
2.90043e-07,-2.295869622191647e-09
2.94082e-07,-2.264623455077146e-09
2.981772e-07,-2.233796275341514e-09
3.023295e-07,-2.203382905432703e-09
3.065395e-07,-2.17337820463e-09
3.108082e-07,-2.143777071329835e-09
3.151363e-07,-2.114574442433205e-09
3.195248e-07,-2.085765294884733e-09
3.239743e-07,-2.057344647080935e-09
3.284857e-07,-2.029307560152928e-09
3.3306e-07,-2.001649136743438e-09
3.37698e-07,-1.974364525279819e-09
3.424006e-07,-1.947448917430031e-09
3.471687e-07,-1.920897550407268e-09
3.520031000000001e-07,-1.89470570736373e-09
3.569049e-07,-1.868868717761251e-09
3.61875e-07,-1.843381958222642e-09
3.669142e-07,-1.818240851304482e-09
3.720237e-07,-1.793440868316995e-09
3.772042000000001e-07,-1.768977527987234e-09
3.82457e-07,-1.74484639714651e-09
3.877828e-07,-1.721043090430211e-09
3.931829000000001e-07,-1.697563272166281e-09
3.986581e-07,-1.674402653778724e-09
4.042096e-07,-1.651556996049407e-09
4.098384e-07,-1.629022107847651e-09
4.155455e-07,-1.606793846954267e-09
4.213322e-07,-1.584868119605609e-09
4.271994000000001e-07,-1.563240880439128e-09
4.331483e-07,-1.541908132057152e-09
4.391801e-07,-1.520865925309294e-09
4.452959000000001e-07,-1.500110359823845e-09
4.514968e-07,-1.479637581798277e-09
4.577841000000001e-07,-1.459443785577297e-09
4.641589e-07,-1.439525212159171e-09
4.706225e-07,-1.419878150583243e-09
