kgds X,kgds Y,kcgd X,kcgd Y,kcgs X,kcgs Y,rds X,rds Y,vd X,vd Y,kgmp X,kgmp Y,ids X,ids Y,kcds X,kcds Y
345.5107,-0.1220967653089537,345.5107,9.162332340566085e-12,345.5107,4.529410785998187e-11,345.5107,973.9945918786111,345.5107,-3.768402313159234,345.5107,-6.843673147540113,345.5107,-0.008408902097549987,345.5107,-5.418127323016307e-16
366.5241,-0.1239338921619343,366.5241,9.470945076653049e-12,366.5241,4.650750411741649e-11,366.5241,929.8687216378445,366.5241,-3.524290323500226,366.5241,-6.911044750288213,366.5241,-0.008677373108463192,366.5241,-6.07596801801656e-16
388.8155,-0.1259842644757991,388.8155,9.816417550863941e-12,388.8155,4.784240189850728e-11,388.8155,888.1754357388909,388.8155,-3.267324090154936,388.8155,-6.983234633766111,388.8155,-0.008936859647990899,388.8155,-6.888890063273276e-16
412.4626,-0.1283082258958509,412.4626,1.02085754796625e-11,412.4626,4.9327558987747e-11,412.4626,848.7963846478327,412.4626,-2.994810596900967,412.4626,-7.061255947067596,412.4626,-0.009182099167109187,412.4626,-7.918234275318837e-16
437.5479,-0.1309904440833125,437.5479,1.066093635524546e-11,437.5479,5.100068716270245e-11,437.5479,811.5879507704823,437.5479,-2.703561867550125,437.5479,-7.146356736093063,437.5479,-0.009406429283217145,437.5479,-9.260089141584379e-16
464.1589,-0.1341473932943916,464.1589,1.119155099415306e-11,464.1589,5.290823268543642e-11,464.1589,776.3337803264833,464.1589,-2.390420262884062,464.1589,-7.23989451623276,464.1589,-0.009602167512742567,464.1589,-1.106806480603682e-15
492.3883,-0.1379425133109254,492.3883,1.182473951221532e-11,492.3883,5.51062141744928e-11,492.3883,742.6932586916738,492.3883,-2.052674826905786,492.3883,-7.343232731971709,492.3883,-0.00976095663918238,492.3883,-1.359685873530594e-15
522.3345,-0.1425898146575617,522.3345,1.259024062725605e-11,522.3345,5.76488074802188e-11,522.3345,710.0819899358463,522.3345,-1.690258631159012,522.3345,-7.457050027590046,522.3345,-0.009876498403580812,522.3345,-1.726832698805716e-15
554.102,-0.1483536466226498,554.102,1.35210738214557e-11,554.102,6.057026151281207e-11,554.102,677.5849673591911,554.102,-1.308018091344587,554.102,-7.580499753475323,554.102,-0.009948051196626593,554.102,-2.277719924718029e-15
587.8016,-0.1555421597553485,587.8016,1.465049078182529e-11,587.8016,6.386333178681035e-11,587.8016,643.9833762671477,587.8016,-0.9169800205121279,587.8016,-7.710527593538413,587.8016,-0.009983371178714614,587.8016,-3.124834842011515e-15
623.5507,-0.1645358610004275,623.5507,1.601654969395829e-11,623.5507,6.748028335084205e-11,623.5507,607.9801219042378,623.5507,-0.5316504385971949,623.5507,-7.842428677158277,623.5507,-0.009996547909238722,623.5507,-4.451429230215643e-15
661.4741,-0.1759332743135022,661.4741,1.768876130273091e-11,661.4741,7.137694579089194e-11,661.4741,568.4332051098031,661.4741,-0.1636443521186739,661.4741,-7.971866727973379,661.4741,-0.009999368539528127,661.4741,-6.578127880912628e-15
701.7038,-0.190693706867424,701.7038,1.980406611485482e-11,701.7038,7.552241662002878e-11,701.7038,524.4029408086498,701.7038,0.1788254909690929,701.7038,-8.095079562278675,701.7038,-0.009999965932618083,701.7038,-1.008823174897133e-14
744.3803,-0.2104689737279523,744.3803,2.26666328645948e-11,744.3803,7.992523802920295e-11,744.3803,475.1295019738193,744.3803,0.4916639115027089,744.3803,-8.209300628131821,744.3803,-0.009999998133170063,744.3803,-1.611826981780263e-14
789.6523,-0.2379538126900883,789.6523,2.693340663034216e-11,789.6523,8.460310965959994e-11,789.6523,420.2498266844966,789.6523,0.7713065325032391,789.6523,-8.311286788138959,789.6523,-0.009999995145809881,789.6523,-2.692115867023507e-14
837.6776,-0.2775616021397557,837.6776,3.321198162844119e-11,837.6776,8.957995883512611e-11,837.6776,360.2806337195152,837.6776,1.014513599416856,837.6776,-8.396956266306027,837.6776,-0.009999993008493378,837.6776,-4.700674182260023e-14
888.6238,-0.336623887378804,888.6238,3.861414025116242e-11,888.6238,9.489195756454133e-11,888.6238,297.0968800885731,888.6238,1.219116562648232,888.6238,-8.461084278392331,888.6238,-0.009999009427780065,888.6238,-8.50941963478653e-14
942.6685,-0.4268876966373199,942.6685,4.194510703196808e-11,942.6685,1.00550761438109e-10,942.6685,234.2774280682193,942.6685,1.383719589728042,942.6685,-8.496245294392372,942.6685,-0.009998984938829626,942.6685,-1.542092720629637e-13
1000,-0.5715335922434115,1000,4.487013413211546e-11,1000,1.065985128493486e-10,1000,175.0032454968612,1000,1.510342185052704,1000,-8.490716046979777,1000,-0.009997977054006178,1000,-2.51137720090717e-13
