kcgs_n X,kcgs_n Y,gmn X,gmn Y,kcgd_n X,kcgd_n Y,reff X,reff Y,kgmn X,kgmn Y,ids X,ids Y,kgds_n X,kgds_n Y
1.500001e-06,-5.385795115914716e-10,1.500001e-06,0.0003817731391513724,1.500001e-06,-3.004216347099285e-10,1.500001e-06,121931.5343052758,1.500001e-06,22.06046274963025,1.500001e-06,1.730576296083232e-05,1.500001e-06,0.4739070947388311
1.657815e-06,-4.978481909693606e-10,1.657815e-06,0.0004151740217422555,1.657815e-06,-2.735141399710462e-10,1.657815e-06,111865.041144201,1.657815e-06,21.829953474057,1.657815e-06,1.9018548172155e-05,1.657815e-06,0.4700328944638217
1.832234e-06,-4.603047899392199e-10,1.832234e-06,0.0004512656553846532,1.832234e-06,-2.490215673148775e-10,1.832234e-06,102672.6649626915,1.832234e-06,21.59098043378434,1.832234e-06,2.090065602942877e-05,1.832234e-06,0.4659992818165118
2.025003e-06,-4.256860792689991e-10,2.025003e-06,0.0004902190637895798,2.025003e-06,-2.267306429197241e-10,2.025003e-06,94278.83147155547,2.025003e-06,21.34317662907951,2.025003e-06,2.296842088265668e-05,2.025003e-06,0.4618007896303361
2.238053e-06,-3.937659188291467e-10,2.238053e-06,0.0005321880848265527,2.238053e-06,-2.064552973397731e-10,2.238053e-06,86617.68295417968,2.238053e-06,21.08630622937332,2.238053e-06,2.523856378815235e-05,2.238053e-06,0.4574343779450304
2.473518e-06,-3.643048925940505e-10,2.473518e-06,0.0005773715407399099,2.473518e-06,-1.880044610942864e-10,2.473518e-06,79620.95615932535,2.473518e-06,20.81988579116463,2.473518e-06,2.773173429149789e-05,2.473518e-06,0.4528929715579836
2.733757e-06,-3.37110245791824e-10,2.733757e-06,0.0006259340697876127,2.733757e-06,-1.712200705972766e-10,2.733757e-06,73232.3757347728,2.733757e-06,20.54367670268738,2.733757e-06,3.046845405748293e-05,2.733757e-06,0.4481737930725008
3.021375e-06,-3.119954294352063e-10,3.021375e-06,0.0006780558114243093,3.021375e-06,-1.559511620596465e-10,3.021375e-06,67397.91158665228,3.021375e-06,20.25738454839615,3.021375e-06,3.347203138709204e-05,3.021375e-06,0.4432732157287883
3.339254e-06,-2.88487400798829e-10,3.339254e-06,0.0007347026349769089,3.339254e-06,-1.418803391771853e-10,3.339254e-06,61999.05054986238,3.339254e-06,19.95665649546102,3.339254e-06,3.681491612304952e-05,3.339254e-06,0.438118049849413
3.690576e-06,-2.671748067807311e-10,3.690576e-06,0.000794191156942341,3.690576e-06,-1.293256029723798e-10,3.690576e-06,57161.00099283063,3.690576e-06,19.6511065360346,3.690576e-06,4.041457693418016e-05,3.690576e-06,0.4328746342731681
4.078861e-06,-2.474143023150947e-10,4.078861e-06,0.0008578755651740071,4.078861e-06,-1.178720291523063e-10,4.078861e-06,52727.2385436098,4.078861e-06,19.33430860224084,4.078861e-06,4.437063578650957e-05,4.078861e-06,0.4274342524229534
4.507997e-06,-2.291009308380363e-10,4.507997e-06,0.0009259044553487708,4.507997e-06,-1.074313664356818e-10,4.507997e-06,48666.08628608126,4.507997e-06,19.00637872875932,4.507997e-06,4.871545856064349e-05,4.507997e-06,0.4218002018801214
4.982283e-06,-2.121321298574066e-10,4.982283e-06,0.0009984267562652906,4.982283e-06,-9.791893840979535e-11,4.982283e-06,44946.99762490756,4.982283e-06,18.66747364071061,4.982283e-06,5.348483546739236e-05,4.982283e-06,0.4159763586275366
5.506468e-06,-1.964095530526741e-10,5.506468e-06,0.001075590838460027,5.506468e-06,-8.925478892287356e-11,5.506468e-06,41541.00778239327,5.506468e-06,18.31780206755813,5.506468e-06,5.871833501056106e-05,5.506468e-06,0.4099673203678139
6.085803e-06,-1.818402386513607e-10,6.085803e-06,0.001157543155214623,6.085803e-06,-8.136433736858853e-11,6.085803e-06,38421.00480850728,6.085803e-06,17.95763573132467,6.085803e-06,6.445966342860188e-05,6.085803e-06,0.4037785534779773
6.726089e-06,-1.683372389361975e-10,6.726089e-06,0.001244426608983265,6.726089e-06,-7.417864863087983e-11,6.726089e-06,35561.85668474234,6.726089e-06,17.58731872227036,6.726089e-06,7.075703969630576e-05,6.726089e-06,0.3974165215532925
7.43374e-06,-1.558198368272994e-10,7.43374e-06,0.0013363788427031,7.43374e-06,-6.763442173245746e-11,7.43374e-06,32940.43168443944,7.43374e-06,17.20727420056337,7.43374e-06,7.766359895975542e-05,7.43374e-06,0.3908887772588039
8.215842999999999e-06,-1.442134713203574e-10,8.215842999999999e-06,0.001433530611289162,8.215842999999999e-06,-6.167379047106882e-11,8.215842999999999e-06,30535.54589091018,8.215842999999999e-06,16.81800775101007,8.215842999999999e-06,8.523783747234069e-05,8.215842999999999e-06,0.384204005892871
9.08023e-06,-1.333154533221488e-10,9.08023e-06,0.001537365459880218,9.08023e-06,-5.617702628488989e-11,9.08023e-06,28300.5168230993,9.08023e-06,16.41490553684825,9.08023e-06,9.365667419950319e-05,9.08023e-06,0.377282708880803
1.003556e-05,-1.233938835888288e-10,1.003556e-05,0.001644728394916586,1.003556e-05,-5.126232500148212e-11,1.003556e-05,26285.46769376672,1.003556e-05,16.01121973328598,1.003556e-05,0.0001027234915462021,1.003556e-05,0.3703518502500538
1.10914e-05,-1.141655153139848e-10,1.10914e-05,0.001757822820073788,1.10914e-05,-4.677223712137057e-11,1.10914e-05,24428.15724716095,1.10914e-05,15.59947401736215,1.10914e-05,0.0001126847493779174,1.10914e-05,0.363282225929398
1.225832e-05,-1.055885796478547e-10,1.225832e-05,0.001876680169787373,1.225832e-05,-4.267335467611084e-11,1.225832e-05,22716.50482611811,1.225832e-05,15.18074249212449,1.225832e-05,0.0001236224229981481,1.225832e-05,0.3560911966501824
1.354802e-05,-9.762133671703946e-11,1.354802e-05,0.002001331071560321,1.354802e-05,-3.893350165458416e-11,1.354802e-05,21138.83759597559,1.354802e-05,14.75607942387046,1.354802e-05,0.0001356275616355675,1.354802e-05,0.3487955567510905
1.497341e-05,-9.022308345321333e-11,1.497341e-05,0.002131803291428833,1.497341e-05,-3.552222638330866e-11,1.497341e-05,19684.08801297119,1.497341e-05,14.326516261289,1.497341e-05,0.0001488012334993872,1.497341e-05,0.3414115194755684
1.654876e-05,-8.335484263131063e-11,1.654876e-05,0.002268118171076826,1.654876e-05,-3.241108866790813e-11,1.654876e-05,18341.91348743804,1.654876e-05,13.89306061738981,1.654876e-05,0.0001632554721770842,1.654876e-05,0.3339547399470924
1.828985e-05,-7.697977907047974e-11,1.828985e-05,0.002410285934631269,1.828985e-05,-2.957378445612839e-11,1.828985e-05,17102.75327412212,1.828985e-05,13.45669545315646,1.828985e-05,0.0001791142515650752,1.828985e-05,0.3264403439061033
2.021412e-05,-7.10633989738404e-11,2.021412e-05,0.002558300237759231,2.021412e-05,-2.698615111738618e-11,2.021412e-05,15957.83813540548,2.021412e-05,13.01837720865898,2.021412e-05,0.0001965145268688032,2.021412e-05,0.3188829391833823
2.234085e-05,-6.549373675228742e-11,2.234085e-05,0.002714501533114989,2.234085e-05,-2.459206368926583e-11,2.234085e-05,14883.79039922984,2.234085e-05,12.57238915053377,2.234085e-05,0.000215909760715587,2.234085e-05,0.3111817927295478
2.469132e-05,-6.04427535076375e-11,2.469132e-05,0.002872977178458674,2.469132e-05,-2.245761486950426e-11,2.469132e-05,13912.19947392987,2.469132e-05,12.13616543785004,2.469132e-05,0.000236728577339469,2.469132e-05,0.3036361778198026
2.728909e-05,-5.574062940440223e-11,2.728909e-05,0.003037577639215333,2.728909e-05,-2.050326878291498e-11,2.728909e-05,13009.04089488944,2.728909e-05,11.69924139699691,2.728909e-05,0.0002596388548743897,2.728909e-05,0.2960636138963686
3.016017e-05,-5.137060016343777e-11,3.016017e-05,0.003208015791220019,3.016017e-05,-1.871632552387238e-11,3.016017e-05,12170.03712624495,3.016017e-05,11.26294550646463,3.016017e-05,0.0002848292029273073,3.016017e-05,0.288485229678792
3.333332e-05,-4.731453275242915e-11,3.333332e-05,0.003383986300814848,3.333332e-05,-1.708404038476516e-11,3.333332e-05,11390.82609352973,3.333332e-05,10.82841837343474,3.333332e-05,0.0003125097483411568,3.333332e-05,0.280919061868395
3.684031e-05,-4.355370894244027e-11,3.684031e-05,0.003565159286133838,3.684031e-05,-1.559397705722628e-11,3.684031e-05,10667.09815681839,3.684031e-05,10.3966269719646,3.684031e-05,0.000342914995002475,3.684031e-05,0.2733803103559708
4.071628e-05,-4.006944702311494e-11,4.071628e-05,0.003751170248634038,4.071628e-05,-1.423426122498293e-11,4.071628e-05,9994.697650074477,4.071628e-05,9.968389070211883,4.071628e-05,0.0003763065649036014,4.071628e-05,0.2658817596092591
4.500003e-05,-3.683584187061074e-11,4.500003e-05,0.003942086299970725,4.500003e-05,-1.299079786785088e-11,4.500003e-05,9368.192432552934,4.500003e-05,9.543354608684583,4.500003e-05,0.0004130713424798627,4.500003e-05,0.25841583998427
4.973448e-05,-3.385473632227632e-11,4.973448e-05,0.004136266035068985,4.973448e-05,-1.186061330728742e-11,4.973448e-05,8787.641588229351,4.973448e-05,9.124713298950947,4.973448e-05,0.0004533036709815885,4.973448e-05,0.251037400055209
5.496704e-05,-3.10626559780581e-11,5.496704e-05,0.004336475900004552,5.496704e-05,-1.081655346558112e-11,5.496704e-05,8240.436261241608,5.496704e-05,8.706055995484464,5.496704e-05,0.0004980987834507077,5.496704e-05,0.2436319910645414
6.075011e-05,-2.854705749928688e-11,6.075011e-05,0.004534377227979413,6.075011e-05,-9.888161018752899e-12,6.075011e-05,7743.680404627479,6.075011e-05,8.30380382923358,6.075011e-05,0.0005460602539785582,6.075011e-05,0.2364895814691208
6.714162e-05,-2.619058232646584e-11,6.714162e-05,0.00473701763333269,6.714162e-05,-9.029300771147375e-12,6.714162e-05,7274.246398306808,6.714162e-05,7.902473818596754,6.714162e-05,0.0005994347772700175,6.714162e-05,0.2293348505004469
7.420558e-05,-2.401542367585949e-11,7.420558e-05,0.004940910801184888,7.420558e-05,-8.246005740795748e-12,7.420558e-05,6836.506165865755,7.420558e-05,7.508087862166192,7.420558e-05,0.0006580784471213372,7.420558e-05,0.2222737224821896
8.201274e-05,-2.200902793101116e-11,8.201274e-05,0.005145161519716023,8.201274e-05,-7.531722280044692e-12,8.201274e-05,6428.032929619417,8.201274e-05,7.121154869026622,8.201274e-05,0.0007225178519982541,8.201274e-05,0.2153145234569803
9.064128999999999e-05,-2.015963928148969e-11,9.064128999999999e-05,0.005348796722199036,9.064128999999999e-05,-6.880478905730004e-12,9.064128999999999e-05,6046.584764249867,9.064128999999999e-05,6.742191965052774,9.064128999999999e-05,0.0007933320127821618,9.064128999999999e-05,0.2084658280691107
0.0001001776,-1.845622685436015e-11,0.0001001776,0.005550778349363058,0.0001001776,-6.286829067988555e-12,0.0001001776,5690.083799506848,0.0001001776,6.371723834317182,0.0001001776,0.0008711580246882907,0.0001001776,0.2017364601743883
0.0001107173,-1.688842578349914e-11,0.0001107173,0.005750019388474725,0.0001107173,-5.745801513251068e-12,0.0001107173,5356.599435251593,0.0001107173,6.010279771553606,0.0001107173,0.0009566974595241503,0.0001107173,0.1951354652016984
0.0001223659,-1.544649229868293e-11,0.0001223659,0.005945402135578115,0.0001223659,-5.252857709979714e-12,0.0001223659,5044.33550111672,0.0001223659,5.658389111407951,0.0001223659,0.001050723451236592,0.0001223659,0.1886720683780712
0.00013524,-1.412127015774181e-11,0.00013524,0.006135797783660819,0.00013524,-4.803854851398734e-12,0.00013524,4751.620744665433,0.00013524,5.316575411157146,0.00013524,0.001154088357476222,0.00013524,0.1823556275994721
