rds X,rds Y,kcds X,kcds Y,kcgs X,kcgs Y,kcgd X,kcgd Y,kgmp X,kgmp Y,kgds X,kgds Y,ids X,ids Y
0.0001702769,265198.8461944246,0.0001702769,-1.072141771051525e-16,0.0001702769,2.925851279334286e-11,0.0001702769,5.46874689726089e-12,0.0001702769,-5.759738785259539,0.0001702769,-0.09843263313521763,0.0001702769,-3.830798130841125e-05
0.0001742633,264750.498429095,0.0001742633,-1.061904929417959e-16,0.0001742633,2.917277394837576e-11,0.0001742633,5.450587443396016e-12,0.0001742633,-5.752726008757358,0.0001742633,-0.098301321995311,0.0001742633,-3.842411338323499e-05
0.0001783431,264316.4122451759,0.0001783431,-1.052085670095461e-16,0.0001783431,2.908988829087332e-11,0.0001783431,5.433045970400822e-12,0.0001783431,-5.745931191283978,0.0001783431,-0.09817425386221094,0.0001783431,-3.853703168294047e-05
0.0001825183,263882.8402289232,0.0001825183,-1.042368844259293e-16,0.0001825183,2.900722520266948e-11,0.0001825183,5.415565141376557e-12,0.0001825183,-5.739139031138048,0.0001825183,-0.09804740186553644,0.0001825183,-3.865029030372341e-05
0.0001867914,263440.2093009137,0.0001867914,-1.032542565132982e-16,0.0001867914,2.892296349316665e-11,0.0001867914,5.397760255455374e-12,0.0001867914,-5.732199132831236,0.0001867914,-0.09791796688326335,0.0001867914,-3.876640689358857e-05
0.0001911644,263033.3261995478,0.0001911644,-1.023587148234569e-16,0.0001911644,2.884561654687656e-11,0.0001911644,5.381428262028609e-12,0.0001911644,-5.725815761072539,0.0001911644,-0.09779903608698977,0.0001911644,-3.887358990089204e-05
0.0001956398,262615.2302059355,0.0001956398,-1.01446730481583e-16,0.0001956398,2.876625218601201e-11,0.0001956398,5.364682722540681e-12,0.0001956398,-5.719251039846864,0.0001956398,-0.09767688624740475,0.0001956398,-3.898416927973793e-05
0.00020022,262201.7623268579,0.00020022,-1.005527550015831e-16,0.00020022,2.868787783076553e-11,0.00020022,5.348158140507345e-12,0.00020022,-5.712754060244833,0.00020022,-0.09755614220571161,0.00020022,-3.909397001646997e-05
0.0002049075,261792.5669315808,0.0002049075,-9.967569193398529e-17,0.0002049075,2.861042211303899e-11,0.0002049075,5.331839011686007e-12,0.0002049075,-5.706319354925664,0.0002049075,-0.0974366971503372,0.0002049075,-3.92030750905973e-05
0.0002097046,261387.2436940088,0.0002097046,-9.881438523970151e-17,0.0002097046,2.853380566622276e-11,0.0002097046,5.315708198664917e-12,0.0002097046,-5.69994073566316,0.0002097046,-0.09731843151508096,0.0002097046,-3.931158098057502e-05
0.0002146141,260985.3473770679,0.0002146141,-9.796762125216918e-17,0.0002146141,2.8457941127941e-11,0.0002146141,5.2997469358231e-12,0.0002146141,-5.693611287434129,0.0002146141,-0.09720121292326259,0.0002146141,-3.941959794910365e-05
0.0002196385,260591.8091619913,0.0002196385,-9.714536681217848e-17,0.0002196385,2.838375411879813e-11,0.0002196385,5.284149361082992e-12,0.0002196385,-5.687408957039648,0.0002196385,-0.09708647589540902,0.0002196385,-3.952578481368824e-05
