kgds X,kgds Y,ids X,ids Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kcds X,kcds Y,rds X,rds Y,kcgd X,kcgd Y
3.175925,-0.4037399005221565,3.175925,-9.300916599581301e-06,3.175925,2.930837632873873e-10,3.175925,-14.41868227640777,3.175925,-2.143936905231832e-13,3.175925,266300.8656653855,3.175925,1.424565775550057e-10
3.314806,-0.4037399005158033,3.314806,-9.707637241906072e-06,3.314806,2.930837632739021e-10,3.314806,-14.41868227614497,3.314806,-2.143936905103593e-13,3.314806,255143.6647526301,3.314806,1.424565775461219e-10
3.459759,-0.4037399005097169,3.459759,-1.013214340879578e-05,3.459759,2.930837632609832e-10,3.459759,-14.41868227589319,3.459759,-2.143936904982147e-13,3.459759,244453.9168164759,3.459759,1.42456577537611e-10
3.611051,-0.4037399005038849,3.611051,-1.057521284509835e-05,3.611051,2.930837632486041e-10,3.611051,-14.41868227565195,3.611051,-2.143936904864944e-13,3.611051,234212.0369908366,3.611051,1.424565775294558e-10
3.768959,-0.4037399004982978,3.768959,-1.103765730573777e-05,3.768959,2.930837632367456e-10,3.768959,-14.41868227542085,3.768959,-2.14393690475245e-13,3.768959,224399.2609562964,3.768959,1.424565775216436e-10
3.933773,-0.4037399004929457,3.933773,-1.152032404294415e-05,3.933773,2.930837632253867e-10,3.933773,-14.41868227519948,3.933773,-2.143936904645026e-13,3.933773,214997.6105616791,3.933773,1.424565775141605e-10
4.105793,-0.4037399004878168,4.105793,-1.202409735851917e-05,4.105793,2.93083763214501e-10,4.105793,-14.41868227498735,4.105793,-2.143936904541717e-13,4.105793,205989.8608859697,4.105793,1.424565775069891e-10
4.285335,-0.4037399004829019,4.285335,-1.254990022397946e-05,4.285335,2.930837632040663e-10,4.285335,-14.418682274784,4.285335,-2.143936904442987e-13,4.285335,197359.50868026,4.285335,1.424565775001151e-10
4.472729,-0.4037399004781942,4.472729,-1.309869597154771e-05,4.472729,2.930837631940756e-10,4.472729,-14.41868227458929,4.472729,-2.143936904348356e-13,4.472729,189090.7421318745,4.472729,1.424565774935332e-10
4.668318,-0.4037399004736829,4.668318,-1.36714900590917e-05,4.668318,2.930837631844993e-10,4.668318,-14.41868227440267,4.668318,-2.143936904257924e-13,4.668318,181168.4118952564,4.668318,1.424565774872245e-10
4.872459,-0.4037399004693606,4.872459,-1.426933191223828e-05,4.872459,2.930837631753246e-10,4.872459,-14.41868227422387,4.872459,-2.143936904171001e-13,4.872459,173578.0033366276,4.872459,1.424565774811803e-10
5.085527,-0.4037399004652203,5.085527,-1.489331684704478e-05,5.085527,2.930837631665372e-10,5.085527,-14.41868227405262,5.085527,-2.143936904087794e-13,5.085527,166305.6099414694,5.085527,1.424565774753913e-10
5.307913,-0.4037399004612536,5.307913,-1.55445880767458e-05,5.307913,2.930837631581191e-10,5.307913,-14.41868227388857,5.307913,-2.143936904007886e-13,5.307913,159337.9078361655,5.307913,1.424565774698455e-10
5.540023,-0.4037399004574518,5.540023,-1.62243388062536e-05,5.540023,2.93083763150048e-10,5.540023,-14.41868227373129,5.540023,-2.143936903931931e-13,5.540023,152662.1313771082,5.540023,1.424565774645285e-10
