kcgd X,kcgd Y,ids X,ids Y,kcds X,kcds Y,rds X,rds Y,kcgs X,kcgs Y,kgmp X,kgmp Y,kgds X,kgds Y
2.564079,5.360734317702726e-11,2.564079,-1.993094016609236e-05,2.564079,-9.669673337945808e-14,2.564079,154806.7993287115,2.564079,1.26123748185104e-10,2.564079,-9.16824437514834,2.564079,-0.3241023522582832
2.676204,5.360734317702726e-11,2.676204,-2.080250209100899e-05,2.676204,-9.669673337943554e-14,2.676204,148320.8626167316,2.676204,1.26123748185104e-10,2.676204,-9.168244375148339,2.676204,-0.3241023522582832
2.793232,5.360734317702726e-11,2.793232,-2.171217662790662e-05,2.793232,-9.669673337944775e-14,2.793232,142106.6670376612,2.793232,1.26123748185104e-10,2.793232,-9.168244375148339,2.793232,-0.3241023522582832
2.915377,5.360734317702726e-11,2.915377,-2.266163040671747e-05,2.915377,-9.669673337945175e-14,2.915377,136152.8274598554,2.915377,1.26123748185104e-10,2.915377,-9.168244375148339,2.915377,-0.3241023522582831
3.042864,5.360734317702726e-11,3.042864,-2.365260293758838e-05,3.042864,-9.669673337947347e-14,3.042864,130448.4357542514,3.042864,1.26123748185104e-10,3.042864,-9.168244375148339,3.042864,-0.3241023522582832
3.175925,5.360734317702726e-11,3.175925,-2.468690979786607e-05,3.175925,-9.66967333794503e-14,3.175925,124983.0408094058,3.175925,1.26123748185104e-10,3.175925,-9.168244375148339,3.175925,-0.3241023522582832
3.314806,5.360734317702727e-11,3.314806,-2.576644595844709e-05,3.314806,-9.669673337944271e-14,3.314806,119746.6293838365,3.314806,1.26123748185104e-10,3.314806,-9.168244375148339,3.314806,-0.3241023522582832
3.459759,5.360734317702726e-11,3.459759,-2.689318925558523e-05,3.459759,-9.669673337945697e-14,3.459759,114729.6077605978,3.459759,1.26123748185104e-10,3.459759,-9.16824437514834,3.459759,-0.3241023522582832
3.611051,5.360734317702726e-11,3.611051,-2.80692040145188e-05,3.611051,-9.669673337945301e-14,3.611051,109922.7841704691,3.611051,1.26123748185104e-10,3.611051,-9.16824437514834,3.611051,-0.3241023522582832
3.768959,5.360734317702726e-11,3.768959,-2.929664483155532e-05,3.768959,-9.66967333794523e-14,3.768959,105317.3519515618,3.768959,1.26123748185104e-10,3.768959,-9.168244375148339,3.768959,-0.3241023522582832
3.933773,5.360734317702726e-11,3.933773,-3.057776052154317e-05,3.933773,-9.66967333794542e-14,3.933773,100904.8734144871,3.933773,1.26123748185104e-10,3.933773,-9.168244375148339,3.933773,-0.3241023522582832
4.105793,5.360734317702726e-11,4.105793,-3.191489823796347e-05,4.105793,-9.669673337945852e-14,4.105793,96677.26438352265,4.105793,1.26123748185104e-10,4.105793,-9.168244375148339,4.105793,-0.3241023522582832
4.285335,5.360734317702726e-11,4.285335,-3.331050777318855e-05,4.285335,-9.669673337945905e-14,4.285335,92626.77938546088,4.285335,1.26123748185104e-10,4.285335,-9.168244375148339,4.285335,-0.3241023522582832
4.472729,5.360734317702726e-11,4.472729,-3.476714604678809e-05,4.472729,-9.669673337944409e-14,4.472729,88745.99745899648,4.472729,1.26123748185104e-10,4.472729,-9.168244375148339,4.472729,-0.3241023522582832
4.668318,5.360734317702726e-11,4.668318,-3.628748179010389e-05,4.668318,-9.669673337945266e-14,4.668318,85027.80855866002,4.668318,1.26123748185104e-10,4.668318,-9.16824437514834,4.668318,-0.3241023522582832
4.872459,5.360734317702726e-11,4.872459,-3.787430043567719e-05,4.872459,-9.669673337944907e-14,4.872459,81465.40052838466,4.872459,1.26123748185104e-10,4.872459,-9.168244375148339,4.872459,-0.3241023522582832
5.085527,5.360734317702727e-11,5.085527,-3.953050922048659e-05,5.085527,-9.669673337945372e-14,5.085527,78052.24662084015,5.085527,1.26123748185104e-10,5.085527,-9.16824437514834,5.085527,-0.3241023522582832
5.307913,5.360734317702726e-11,5.307913,-4.125914251234493e-05,5.307913,-9.669673337944354e-14,5.307913,74782.09353967149,5.307913,1.26123748185104e-10,5.307913,-9.168244375148339,5.307913,-0.3241023522582832
5.540023,5.360734317702726e-11,5.540023,-4.306336736921591e-05,5.540023,-9.669673337946042e-14,5.540023,71648.94998272856,5.540023,1.26123748185104e-10,5.540023,-9.168244375148339,5.540023,-0.3241023522582832
5.782283,5.360734317702726e-11,5.782283,-4.494648934163346e-05,5.782283,-9.669673337944526e-14,5.782283,68647.0756653023,5.782283,1.26123748185104e-10,5.782283,-9.168244375148339,5.782283,-0.3241023522582832
6.035137,5.360734317702726e-11,6.035137,-4.691195852885657e-05,6.035137,-9.669673337943477e-14,6.035137,65770.97080325245,6.035137,1.26123748185104e-10,6.035137,-9.16824437514834,6.035137,-0.3241023522582832
6.299048,5.360734317702726e-11,6.299048,-4.896337589985344e-05,6.299048,-9.669673337945483e-14,6.299048,63015.3660367616,6.299048,1.26123748185104e-10,6.299048,-9.168244375148339,6.299048,-0.3241023522582832
6.5745,5.360734317702726e-11,6.5745,-5.110449989069738e-05,6.5745,-9.669673337945412e-14,6.5745,60375.21277625228,6.5745,1.26123748185104e-10,6.5745,-9.168244375148339,6.5745,-0.3241023522582832
6.861997,5.360734317702726e-11,6.861997,-5.333925329046005e-05,6.861997,-9.669673337945185e-14,6.861997,57845.67395278216,6.861997,1.26123748185104e-10,6.861997,-9.16824437514834,6.861997,-0.3241023522582832
